QUERY_ID,QUERY_NAME,REPORT_ID,STANDARD_REPORT_NAME,temp,VDDC_CSV_FilePath,QUERY_TXT_FilePath,RECURRENCE_FREQUENCY,REPORT_STATUS,NOTES
4,PRIMARY,4,CATEGORY_DASHBOARD,s,,,Weekly (tues),ACTIVE,12/7/2020 - I think I saved this file in OneDrive temp - and I think the underlying DataConnection query was deleted from the web-view. not sure why
10,PRIMARY,10,KPI_REPORT,s,,,Weekly (tues),ACTIVE,12/7/2020 - updated again using static datasource. - NEEDS TO BE REFRESHED TWICE
15,PRIMARY,15,SkuStore_ACTIVATION,s,,,Weekly (tues),ACTIVE,
1,PRIMARY,1,NORTHWEST_PAINT,d,D:\git\PeRM\PeRM\dataManagement\sales_csv\RR _ NorthWest Paint_Full.csv,D:\git\PeRM\PeRM\dataManagement\query_txt\northwestpaintweekly.txt,Weekly (tues),ACTIVE,
3,PRIMARY,3,TIMELESS,d,D:\git\PeRM\PeRM\dataManagement\sales_csv\LATESTDATA_TIMELESS.csv,D:\git\PeRM\PeRM\dataManagement\query_txt\timelessweekly.txt,Weekly (tues),ACTIVE,
9,PRIMARY,9,PRECISION_SALES,d,D:\git\PeRM\PeRM\dataManagement\sales_csv\WEB QUERY EXPORT - Precision Weekly Sales.csv,,Weekly (tues),ACTIVE,
11,PRIMARY,11,PT_REPORT_TARGET_PLANTS,d,D:\git\PeRM\PeRM\dataManagement\sales_csv\WEBQUERYEXPORT_PTsales.csv,,Monthly (1st),ACTIVE,
12,PRIMARY,12,PICINC_TABLES,d,D:\git\PeRM\PeRM\dataManagement\sales_csv\WEB QUERY EXPORT - Picnic Table Sellthrough.csv,,Weekly (tues),ACTIVE,"12/29/2020 - Nicole - ""I like this report. we just need to add a couple things"""
13,PRIMARY,13,396_FORECASTING,d,D:\git\PeRM\PeRM\dataManagement\sales_csv\WEBQUERYEXPORT_396ForecastingData.csv,,Weekly (tues),ACTIVE,
14,OHNO_CurrOH_Trailing4wk,14,OHNO_IS,d,D:\git\PeRM\PeRM\dataManagement\sales_csv\WEBQUERYEXPORT_OHNO_CurrOH_Trailing4wk.csv,,Weekly (tues),ACTIVE,
16,OHNO_MktSales,14,OHNO_IS,d,D:\git\PeRM\PeRM\dataManagement\sales_csv\WEBQUERYEXPORT_OHNO_MarketSales.csv,,,ACTIVE,supporting query for the primary OHNO sales report.
17,OHNO_Sales,14,OHNO_IS,d,D:\git\PeRM\PeRM\dataManagement\sales_csv\WEBQUERYEXPORT_OHNO_UnitsSold_Trailing4wk.csv,,,ACTIVE,supporting query for the primary OHNO sales report.
18,CurrOH_Daily,,,d,,,,ACTIVE,
19,sku_detail,,,,,,,ACTIVE,
20,sku_detail_online,,,,,,,ACTIVE,
21,sku_detail_precision,,,,,,,ACTIVE,
22,store_detail,,,,,,,ACTIVE,
23,subclass_detail,,,,,,,ACTIVE,
24,PRIMARY_ShortLumber,16,SHORTLUMBER_PROGRAM_PERFORMANCE,d,D:\git\PeRM\PeRM\dataManagement\sales_csv\QUERYEXPORT_RRShortLumberProgram_Full.csv,D:\git\PeRM\PeRM\dataManagement\query_txt\shortLumberweekly.txt,,ACTIVE,
